Country Name,Country Code,Series Name,Series Code,2020 [YR2020],2019 [YR2019],2018 [YR2018],2017 [YR2017],2016 [YR2016],2015 [YR2015],2014 [YR2014],2013 [YR2013],2012 [YR2012],2011 [YR2011],2010 [YR2010],2009 [YR2009],2008 [YR2008],2007 [YR2007],2006 [YR2006],2005 [YR2005],2004 [YR2004]
Rwanda,RWA,HIV/AIDS,5.51.01.05.hiv,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Russian Federation,RUS,Vital registration system coverage,3.11.01.03.popreg,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bolivia,BOL,National accounts base year,2.01.01.02.nabase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica,JAM,Gender equality,5.51.01.07.gender,0.66667,0.66667,0.33333,0,0,0,0,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,1,1,1,0.66667
IDA total,IDA,National accounts base year,2.01.01.02.nabase,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bangladesh,BGD,Per capita GDP growth,5.51.01.10.gdp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Cambodia,KHM,Population census,3.11.01.01.popcen,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IDA & IBRD total,IBT,National accounts base year,2.01.01.02.nabase,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Sierra Leone,SLE,Population census,3.11.01.01.popcen,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
India,IND,Consumer price index base year,2.01.03.01.prcpbase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
Lebanon,LBN,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,40,40,50,50,50,50,50,50,50,50,50,40,40,30,40,40,30
Cote d'Ivoire,CIV,Import and export price indexes,5.04.01.02.impexp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gambia, The",GMB,Immunization,5.51.01.04.immun,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Eswatini,SWZ,Periodicity and timeliness assessment of statistical capacity (scale 0 - 100),IQ.SCI.PRDC,93.3334,90,93.3333,86.6667,86.6667,86.6667,90,90,86.66667,83.33333,83.33333,83.33333,83.33333,90,90,86.66667,86.66667
Uzbekistan,UZB,Balance of payments manual in use,2.04.01.01.excncpt,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
IBRD only,IBD,Overall Average,IQ.SCI.OVRL,71.7921215053763,72.8494677419355,73.3871021505376,75.4121870967742,75.9319043010753,75.4121935483871,75.0913978494624,74.8924731182796,75.2508960035842,76.5938069398907,76.001785154827,75.919817723133,75.974462568306,75.5919490163934,74.8087250819672,75.0090711111111,72.7504555555556
Central African Republic,CAF,Special Data Dissemination Standard,5.21.01.01.sdds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
