Country Name,Country Code,Series Name,Series Code,2020 [YR2020],2019 [YR2019],2018 [YR2018],2017 [YR2017],2016 [YR2016],2015 [YR2015],2014 [YR2014],2013 [YR2013],2012 [YR2012],2011 [YR2011],2010 [YR2010],2009 [YR2009],2008 [YR2008],2007 [YR2007],2006 [YR2006],2005 [YR2005],2004 [YR2004]
Afghanistan,AFG,Access to water,5.51.01.09.water,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Afghanistan,AFG,Agricultural census,3.01.04.01.agcen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,Balance of payments manual in use,2.04.01.01.excncpt,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,Child malnutrition,5.51.01.02.malnut,0.66667,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333,0.66667,0.66667,0.66667,0.33333,0.33333,0.33333,0.33333
Afghanistan,AFG,Child mortality,5.51.01.03.mortal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Afghanistan,AFG,Consumer price index base year,2.01.03.01.prcpbase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,External debt reporting status,5.04.01.01.exdebt,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0
Afghanistan,AFG,Gender equality,5.51.01.07.gender,1,0.66667,0.66667,1,1,1,1,1,1,1,1,1,0.66667,0.66667,0.66667,0.33333,0.33333
Afghanistan,AFG,Government finance accounting,3.02.01.02.fscov,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
Afghanistan,AFG,Health survey,5.13.01.01.hlthsurv,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Afghanistan,AFG,HIV/AIDS,5.51.01.05.hiv,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Afghanistan,AFG,Immunization,5.51.01.04.immun,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Afghanistan,AFG,Import and export price indexes,5.04.01.02.impexp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,Income poverty,5.51.01.01.poverty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,Industrial production index,5.01.01.01.indust,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,Maternal health,5.51.01.06.matern,1,1,1,1,1,1,1,1,1,1,1,0.66667,0.66667,0.66667,0.33333,0.33333,0.33333
Afghanistan,AFG,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,50,40,40,40,40,40,50,50,40,40,40,30,40,20,20,20,0
Afghanistan,AFG,National accounts base year,2.01.01.02.nabase,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0
Afghanistan,AFG,National immunization coverage,5.13.01.01.who,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
Afghanistan,AFG,Overall Average,IQ.SCI.OVRL,57.7778,50,50,51.1111,51.1111,51.1111,54.4444444444444,53.3333333333333,50,51.1111111111111,52.2222222222222,46.6666666666667,45.5555555555556,34.4444444444444,32.2222222222222,31.1111111111111,24.4444444444444
Afghanistan,AFG,Per capita GDP growth,5.51.01.10.gdp,1,1,1,1,1,1,1,0.66667,0.66667,0.66667,0.66667,0.33333,0.33333,0.33333,0.33333,0.33333,0.33333
Afghanistan,AFG,Periodicity and timeliness assessment of statistical capacity (scale 0 - 100),IQ.SCI.PRDC,83.3334,70,70,73.3333,73.3333,73.3333,73.3333333333333,70,70,73.33333,76.66667,70,66.66667,63.33333,56.66667,53.33333,53.33333
Afghanistan,AFG,Population census,3.11.01.01.popcen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,Poverty survey,5.14.01.01.povsurv,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0,0,0,0
Afghanistan,AFG,Primary completion,5.51.01.08.primcomp,0.66667,0,0,0,0,0,0,0,0,0.33333,0.33333,0.33333,0.33333,0.33333,0,0,0
Afghanistan,AFG,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,40,40,40,40,40,40,40,40,40,40,40,40,30,20,20,20,20
Afghanistan,AFG,Special Data Dissemination Standard,5.21.01.01.sdds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,UNESCO reporting,5.12.01.01.unesco,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
Afghanistan,AFG,Vital registration system coverage,3.11.01.03.popreg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,ALB,Access to water,5.51.01.09.water,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Albania,ALB,Agricultural census,3.01.04.01.agcen,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1
Albania,ALB,Balance of payments manual in use,2.04.01.01.excncpt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Albania,ALB,Child malnutrition,5.51.01.02.malnut,0.66667,0.33333,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,1,1,1,1,0.66667,0.66667,0.66667,0.66667,0.66667
Albania,ALB,Child mortality,5.51.01.03.mortal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Albania,ALB,Consumer price index base year,2.01.03.01.prcpbase,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
Albania,ALB,External debt reporting status,5.04.01.01.exdebt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Albania,ALB,Gender equality,5.51.01.07.gender,1,1,1,1,1,0,0,0,0,0,0,0,0,0.33333,0.33333,0.66667,0.66667
Albania,ALB,Government finance accounting,3.02.01.02.fscov,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
Albania,ALB,Health survey,5.13.01.01.hlthsurv,0.5,0.5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Albania,ALB,HIV/AIDS,5.51.01.05.hiv,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Albania,ALB,Immunization,5.51.01.04.immun,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Albania,ALB,Import and export price indexes,5.04.01.02.impexp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,ALB,Income poverty,5.51.01.01.poverty,1,0.66667,1,1,1,1,1,1,1,1,1,1,1,0.66667,0.66667,0.33333,0.33333
Albania,ALB,Industrial production index,5.01.01.01.indust,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,ALB,Maternal health,5.51.01.06.matern,0.66667,0.66667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Albania,ALB,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,80,70,80,70,60,50,50,60,70,60,60,60,60,70,70,60,60
Albania,ALB,National accounts base year,2.01.01.02.nabase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
Albania,ALB,National immunization coverage,5.13.01.01.who,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Albania,ALB,Overall Average,IQ.SCI.OVRL,87.7778,78.8889,82.2222333333333,88.8889,82.2222333333333,72.2222333333333,75.5555555555556,68.8888888888889,73.3333333333333,70,70,77.7777777777778,76.6666666666667,80,81.1111111111111,77.7777777777778,76.6666666666667
Albania,ALB,Per capita GDP growth,5.51.01.10.gdp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Albania,ALB,Periodicity and timeliness assessment of statistical capacity (scale 0 - 100),IQ.SCI.PRDC,93.3334,76.6667,86.6667,96.6667,86.6667,66.6667,76.6666666666667,66.6666666666667,70,70,70,73.33333,70,70,73.33333,73.33333,70
Albania,ALB,Population census,3.11.01.01.popcen,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Albania,ALB,Poverty survey,5.14.01.01.povsurv,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Albania,ALB,Primary completion,5.51.01.08.primcomp,1,1,1,1,1,0,0,0,0,0,0,0.33333,0.33333,0.33333,0.66667,0.66667,0.33333
Albania,ALB,Source data assessment of statistical capacity (scale 0 - 100),IQ.SCI.SRCE,90,90,80,100,100,100,100,80,80,80,80,100,100,100,100,100,100
Albania,ALB,Special Data Dissemination Standard,5.21.01.01.sdds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,ALB,UNESCO reporting,5.12.01.01.unesco,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1
Albania,ALB,Vital registration system coverage,3.11.01.03.popreg,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Algeria,DZA,Access to water,5.51.01.09.water,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Algeria,DZA,Agricultural census,3.01.04.01.agcen,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Algeria,DZA,Balance of payments manual in use,2.04.01.01.excncpt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Algeria,DZA,Child malnutrition,5.51.01.02.malnut,0.33333,0.33333,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667,1,1,1,1,1,1,1,1,1
Algeria,DZA,Child mortality,5.51.01.03.mortal,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Algeria,DZA,Consumer price index base year,2.01.03.01.prcpbase,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Algeria,DZA,External debt reporting status,5.04.01.01.exdebt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Algeria,DZA,Gender equality,5.51.01.07.gender,0,0,0,0.33333,0.33333,0.66667,0.66667,1,1,1,1,1,1,1,1,1,0.66667
Algeria,DZA,Government finance accounting,3.02.01.02.fscov,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,DZA,Health survey,5.13.01.01.hlthsurv,0.5,0.5,0,1,1,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Algeria,DZA,HIV/AIDS,5.51.01.05.hiv,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Algeria,DZA,Immunization,5.51.01.04.immun,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Algeria,DZA,Import and export price indexes,5.04.01.02.impexp,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Algeria,DZA,Income poverty,5.51.01.01.poverty,0.33333,0.33333,0.33333,0.33333,0,0,0,0,0,0,0,0,0.33333,0.33333,0.33333,0.33333,0.33333
Algeria,DZA,Industrial production index,5.01.01.01.indust,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Algeria,DZA,Maternal health,5.51.01.06.matern,0.33333,1,1,1,0.66667,0.66667,0.66667,1,1,1,1,0.66667,0.66667,0.66667,0.66667,0.66667,0.66667
Algeria,DZA,Methodology assessment of statistical capacity (scale 0 - 100),IQ.SCI.MTHD,50,50,50,60,50,50,50,50,60,60,50,50,50,50,50,50,30
Algeria,DZA,National accounts base year,2.01.01.02.nabase,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,DZA,National immunization coverage,5.13.01.01.who,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Algeria,DZA,Overall Average,IQ.SCI.OVRL,49.9999666666667,52.2222,50,61.1111,55.5555666666667,53.3333666666667,52.2222222222222,51.1111111111111,58.8888888888889,62.2222222222222,58.8888888888889,57.7777777777778,58.8888888888889,60,63.3333333333333,63.3333333333333,54.4444444444444
Algeria,DZA,Per capita GDP growth,5.51.01.10.gdp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Algeria,DZA,Periodicity and timeliness assessment of statistical capacity (scale 0 - 100),IQ.SCI.PRDC,69.9999,76.6666,80,83.3333,76.6667,80.0001,76.6666666666667,73.3333333333333,76.66667,76.66667,76.66667,73.33333,76.66667,80,80,80,73.33333
Algeria,DZA,Population census,3.11.01.01.popcen,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
