Country Name,Country Code,Series Name,Series Code,2020 [YR2020],2019 [YR2019],2018 [YR2018],2017 [YR2017],2016 [YR2016],2015 [YR2015],2014 [YR2014],2013 [YR2013],2012 [YR2012],2011 [YR2011],2010 [YR2010],2009 [YR2009],2008 [YR2008],2007 [YR2007],2006 [YR2006],2005 [YR2005],2004 [YR2004]
Botswana,BWA,Consumer price index base year,2.01.03.01.prcpbase,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,1
Myanmar,MMR,Consumer price index base year,2.01.03.01.prcpbase,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1
Zambia,ZMB,Consumer price index base year,2.01.03.01.prcpbase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Papua New Guinea,PNG,Consumer price index base year,2.01.03.01.prcpbase,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Poland,POL,Consumer price index base year,2.01.03.01.prcpbase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Jamaica,JAM,Consumer price index base year,2.01.03.01.prcpbase,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0
Burkina Faso,BFA,Consumer price index base year,2.01.03.01.prcpbase,0,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1
Europe & Central Asia (excluding high income),ECA,Consumer price index base year,2.01.03.01.prcpbase,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Dominican Republic,DOM,Consumer price index base year,2.01.03.01.prcpbase,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Guyana,GUY,Consumer price index base year,2.01.03.01.prcpbase,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,..
Mauritius,MUS,Consumer price index base year,2.01.03.01.prcpbase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Tuvalu,TUV,Consumer price index base year,2.01.03.01.prcpbase,1,1,1,1,1,1,1,0,..,..,..,..,..,..,..,..,..
Burundi,BDI,Consumer price index base year,2.01.03.01.prcpbase,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu,VUT,Consumer price index base year,2.01.03.01.prcpbase,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,..
Mexico,MEX,Consumer price index base year,2.01.03.01.prcpbase,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1
Mozambique,MOZ,Consumer price index base year,2.01.03.01.prcpbase,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
