Country Name,Country Code,Indicator Name,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,GDP growth (annual %),1.120879121,7.281025864,-0.384927066,1.138905837,3.0967223,1.833430856,-11.68358552,-2.732595966,3.366778149,-1.035375324,6.429816914,-0.020479214,3.54362966,2.116716123,5.482371174,1.267217631,-2.08560029,-22.31894795,1.238927
Africa Eastern and Southern,AFE,GDP growth (annual %),3.080376027,5.508355413,6.11680123,6.554880874,6.604282248,4.343456451,0.761219025,5.152125349,3.680870461,0.923067182,4.200208842,3.984386861,2.952845384,2.217016505,2.557135194,2.485244225,2.025940679,-2.886855648,4.303667021
Afghanistan,AFG,GDP growth (annual %),8.832277813,1.414117981,11.22971482,5.357403251,13.82631955,3.924983822,21.39052839,14.36244147,0.426354785,12.75228709,5.600744658,2.724543364,1.45131466,2.260314201,2.647003202,1.189228128,3.911603419,-2.351100673,4.237913
Africa Western and Central,AFW,GDP growth (annual %),5.518474234,8.013452641,5.848364079,5.374481528,5.530898547,6.279223191,6.274497795,6.957030175,4.848332588,5.142996875,6.104192302,5.927355116,2.745894496,0.127844424,2.317679001,2.952189736,3.202544187,-0.897014041,3.914798957
Angola,AGO,GDP growth (annual %),2.99,10.95000001,15.02999999,11.55,14.01000001,11.16999999,0.860000002,4.859999999,3.470000001,8.540000003,4.949999998,4.819999999,0.939999999,-2.579999996,-0.15,-1.316312102,-0.699999998,-5.500000003,0.700000005
Albania,ALB,GDP growth (annual %),5.528637465,5.514667911,5.526424247,5.902659036,5.983259519,7.50004143,3.35428935,3.706938153,2.545406145,1.4172428,1.002017541,1.774448853,2.218726375,3.314980684,3.8022274,4.019359685,2.088063376,-3.481630373,8.544083251
Andorra,AND,GDP growth (annual %),8.694203716,8.135676338,5.397795985,4.808688699,1.553188141,-5.559186369,-5.302846543,-1.974958,-0.008069753,-4.974443719,-3.547596515,2.504465521,1.434140395,3.70967807,0.34607189,1.58876549,2.015547638,-11.18393994,8.949417981
Arab World,ARB,GDP growth (annual %),4.870690023,8.854427223,5.520446063,6.080681139,4.572705319,5.561259916,0.414944587,4.753177418,3.243588345,5.074696991,2.564217188,2.34867918,3.052633634,3.175146768,1.242607981,2.363881228,1.586319316,-5.051382598,3.530294057
United Arab Emirates,ARE,GDP growth (annual %),8.800540815,9.566436637,4.855141196,9.837319773,3.184390174,3.191836276,-5.242921907,1.602850048,6.928508599,4.483791985,5.053077855,4.41008526,5.060334864,2.984216091,2.373551057,1.189855642,3.411538686,-6.134500803,5.38917498
Argentina,ARG,GDP growth (annual %),8.837040796,9.029573301,8.85165992,8.0471515,9.007650875,4.057233103,-5.918525076,10.12539816,6.003951693,-1.026420454,2.405323781,-2.512615321,2.731159828,-2.080327844,2.818502978,-2.617396463,-2.025934237,-9.895268964,10.26376093
Armenia,ARM,GDP growth (annual %),14,10.5,13.9,13.2,13.7,6.9,-14.1,2.2,4.699999999,7.200000001,3.3,3.600000001,3.199999999,0.2,7.500000002,5.2,7.599999999,-7.4,5.7
American Samoa,ASM,GDP growth (annual %),0.965517241,0.409836066,-0.408163265,-4.098360656,1.851851852,-2.657342657,-4.166666667,0.299850075,0,-4.334828102,-2.5,1.762820513,3.149606299,-1.679389313,-6.98757764,2.671118531,-0.487804878,3.921568627,4.34981
Antigua and Barbuda,ATG,GDP growth (annual %),6.076543688,5.767028612,6.473831316,12.70814853,9.315383163,-0.014340652,-11.96269725,-7.840594744,-1.958612628,3.3728662,-0.600876397,3.795727613,3.825293099,5.496459204,3.14432324,6.883640817,4.862236166,-20.19237057,5.27084884
Australia,AUS,GDP growth (annual %),3.110325109,4.205446887,3.160338325,2.726893446,3.768487516,3.577014878,1.86683207,2.172337091,2.469746294,3.917362463,2.600211881,2.562931521,2.172204753,2.741643069,2.295926947,2.87097248,2.113149425,-0.003836559,1.475162883
Austria,AUT,GDP growth (annual %),0.941470921,2.735120222,2.244065325,3.454041836,3.727415301,1.460423676,-3.764578178,1.837093677,2.922797284,0.680445577,0.025504712,0.661272849,1.014501586,1.989437162,2.258572433,2.501595119,1.49121085,-6.734514076,4.483969206
Azerbaijan,AZE,GDP growth (annual %),10.2082994,9.253801797,27.96153811,34.5,24.99999985,10.75897806,9.296363744,5.048944513,0.100000138,2.165239475,5.809800843,2.750506815,1.093975916,-3.09999988,0.199999939,1.5,2.500000067,-4.300000102,5.600037273
Burundi,BDI,GDP growth (annual %),-1.22372796,4.833657768,0.900000001,5.413807145,3.45195249,4.861712995,3.812746937,5.124157796,4.032599988,4.446706331,4.924189898,4.240650214,-3.90000008,-0.600000909,0.500001262,1.609935421,1.812565324,0.327156893,1.795299998
