Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,Expected Years of School,HD.HCI.EYRS,..,..,..,..,..,..,..,8.58,8.720339775,..,8.901890755
Albania,ALB,Expected Years of School,HD.HCI.EYRS,11.61565018,..,..,..,..,..,..,12.99,12.88550758,..,12.88938141
Algeria,DZA,Expected Years of School,HD.HCI.EYRS,11.32690144,..,..,..,..,..,..,11.42,11.77531815,..,11.84803486
American Samoa,ASM,Expected Years of School,HD.HCI.EYRS,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Expected Years of School,HD.HCI.EYRS,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,Expected Years of School,HD.HCI.EYRS,..,..,..,..,..,..,..,7.89,8.120065689,..,8.120065689
Antigua and Barbuda,ATG,Expected Years of School,HD.HCI.EYRS,..,..,..,..,..,..,..,..,12.77710342,..,12.96755981
Argentina,ARG,Expected Years of School,HD.HCI.EYRS,12.58978558,..,..,..,..,..,..,13.07,12.87952328,..,12.87952328
Armenia,ARM,Expected Years of School,HD.HCI.EYRS,..,..,..,..,..,..,..,11.09,11.38680267,..,11.27987003
Aruba,ABW,Expected Years of School,HD.HCI.EYRS,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,Expected Years of School,HD.HCI.EYRS,12.88420105,..,..,..,..,..,..,13.77,13.60144329,..,13.60144329
Austria,AUT,Expected Years of School,HD.HCI.EYRS,13.46289825,..,..,..,..,..,..,13.89,13.42759895,..,13.42759895
Azerbaijan,AZE,Expected Years of School,HD.HCI.EYRS,10.69362926,..,..,..,..,..,..,11.58,12.40465355,..,12.44378662
"Bahamas, The",BHS,Expected Years of School,HD.HCI.EYRS,..,..,..,..,..,..,..,..,..,..,..
Bahrain,BHR,Expected Years of School,HD.HCI.EYRS,12.05264854,..,..,..,..,..,..,13.28,13.17068195,..,12.84967232
Bangladesh,BGD,Expected Years of School,HD.HCI.EYRS,8.155424118,..,..,..,..,..,..,11.03,10.17778587,..,10.16354275
Barbados,BRB,Expected Years of School,HD.HCI.EYRS,..,..,..,..,..,..,..,..,..,..,..
Belarus,BLR,Expected Years of School,HD.HCI.EYRS,13.65099525,..,..,..,..,..,..,..,13.80097675,..,13.8077774
Belgium,BEL,Expected Years of School,HD.HCI.EYRS,13.25128555,..,..,..,..,..,..,13.41,13.52447605,..,13.52447605
Belize,BLZ,Expected Years of School,HD.HCI.EYRS,..,..,..,..,..,..,..,..,..,..,..
Benin,BEN,Expected Years of School,HD.HCI.EYRS,8.241989136,..,..,..,..,..,..,9.32,9.187587738,..,9.224535942
Bermuda,BMU,Expected Years of School,HD.HCI.EYRS,..,..,..,..,..,..,..,..,..,..,..
Bhutan,BTN,Expected Years of School,HD.HCI.EYRS,..,..,..,..,..,..,..,..,10.22456932,..,10.22456932
Bolivia,BOL,Expected Years of School,HD.HCI.EYRS,..,..,..,..,..,..,..,..,..,..,..
Bosnia and Herzegovina,BIH,Expected Years of School,HD.HCI.EYRS,..,..,..,..,..,..,..,11.71,11.71665859,..,11.717803
Botswana,BWA,Expected Years of School,HD.HCI.EYRS,7.827937126,..,..,..,..,..,..,8.41,8.104851723,..,8.118463516
Brazil,BRA,Expected Years of School,HD.HCI.EYRS,11.53814888,..,..,..,..,..,..,11.69,11.90704727,..,11.90704727
British Virgin Islands,VGB,Expected Years of School,HD.HCI.EYRS,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,Expected Years of School,HD.HCI.EYRS,13.34628487,..,..,..,..,..,..,..,13.07801247,..,13.16941071
Bulgaria,BGR,Expected Years of School,HD.HCI.EYRS,12.90365887,..,..,..,..,..,..,12.92,12.30934048,..,12.30934048
Burkina Faso,BFA,Expected Years of School,HD.HCI.EYRS,4.909054756,..,..,..,..,..,..,6.5,6.737952232,..,7.01878643
Burundi,BDI,Expected Years of School,HD.HCI.EYRS,6.418194771,..,..,..,..,..,..,7.51,7.953445435,..,7.635571957
Cabo Verde,CPV,Expected Years of School,HD.HCI.EYRS,..,..,..,..,..,..,..,..,..,..,..
Cambodia,KHM,Expected Years of School,HD.HCI.EYRS,9.566482544,..,..,..,..,..,..,9.55,9.48007679,..,9.465780258
Cameroon,CMR,Expected Years of School,HD.HCI.EYRS,7.550619602,..,..,..,..,..,..,9.07,8.724861145,..,8.721478462
Canada,CAN,Expected Years of School,HD.HCI.EYRS,13.12152195,..,..,..,..,..,..,13.67,13.72201538,..,13.72201538
Cayman Islands,CYM,Expected Years of School,HD.HCI.EYRS,..,..,..,..,..,..,..,..,..,..,..
Central African Republic,CAF,Expected Years of School,HD.HCI.EYRS,..,..,..,..,..,..,..,..,4.569999695,..,4.569999695
Chad,TCD,Expected Years of School,HD.HCI.EYRS,4.30069828,..,..,..,..,..,..,4.95,5.389992237,..,5.310591698
Channel Islands,CHI,Expected Years of School,HD.HCI.EYRS,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,Expected Years of School,HD.HCI.EYRS,12.42187309,..,..,..,..,..,..,12.85,13.00178337,..,13.00178337
China,CHN,Expected Years of School,HD.HCI.EYRS,..,..,..,..,..,..,..,13.25,12.99800491,..,13.13779354
Colombia,COL,Expected Years of School,HD.HCI.EYRS,12.49038792,..,..,..,..,..,..,12.48,12.5712471,..,12.86037445
Comoros,COM,Expected Years of School,HD.HCI.EYRS,..,..,..,..,..,..,..,8.45,8.069910049,..,8.17353344
"Congo, Dem. Rep.",COD,Expected Years of School,HD.HCI.EYRS,..,..,..,..,..,..,..,9.19,9.131845474,..,9.131845474
"Congo, Rep.",COG,Expected Years of School,HD.HCI.EYRS,8.783110619,..,..,..,..,..,..,8.8,8.912769318,..,8.912769318
Costa Rica,CRI,Expected Years of School,HD.HCI.EYRS,11.95771694,..,..,..,..,..,..,12.48,12.36807823,..,13.11572647
Cote d'Ivoire,CIV,Expected Years of School,HD.HCI.EYRS,5.020181656,..,..,..,..,..,..,7.04,7.620675087,..,8.057337761
Croatia,HRV,Expected Years of School,HD.HCI.EYRS,13.16780853,..,..,..,..,..,..,13.31,13.39028454,..,13.39028454
Cuba,CUB,Expected Years of School,HD.HCI.EYRS,..,..,..,..,..,..,..,..,..,..,..
Curacao,CUW,Expected Years of School,HD.HCI.EYRS,..,..,..,..,..,..,..,..,..,..,..
Cyprus,CYP,Expected Years of School,HD.HCI.EYRS,13.37005329,..,..,..,..,..,..,13.52,13.58760548,..,13.58760548
Czech Republic,CZE,Expected Years of School,HD.HCI.EYRS,13.36299896,..,..,..,..,..,..,13.94,13.56410408,..,13.56410408
Denmark,DNK,Expected Years of School,HD.HCI.EYRS,13.43408871,..,..,..,..,..,..,13.45,13.39460278,..,13.39460278
Djibouti,DJI,Expected Years of School,HD.HCI.EYRS,..,..,..,..,..,..,..,..,..,..,..
Dominica,DMA,Expected Years of School,HD.HCI.EYRS,..,..,..,..,..,..,..,..,12.39661407,..,12.39661407
Dominican Republic,DOM,Expected Years of School,HD.HCI.EYRS,11.46752071,..,..,..,..,..,..,11.29,11.92869186,..,11.87394905
Ecuador,ECU,Expected Years of School,HD.HCI.EYRS,12.27594662,..,..,..,..,..,..,13.18,13.02255917,..,12.9366293
"Egypt, Arab Rep.",EGY,Expected Years of School,HD.HCI.EYRS,10.15024567,..,..,..,..,..,..,11.13,11.41996956,..,11.46350098
El Salvador,SLV,Expected Years of School,HD.HCI.EYRS,..,..,..,..,..,..,..,11.31,10.882267,..,10.94988823
